"Project","Path","OldVersion","NewVersion","Status","Timestamp"
"scraper.FanartTV.Poster","Addons\scraper.FanartTV.Poster\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.TMDB.Poster","Addons\scraper.TMDB.Poster\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.Image.TVDB","Addons\scraper.Image.TVDB\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.TelevisionTunes.Theme","Addons\scraper.TelevisionTunes.Theme\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
"scraper.Theme.YouTube","Addons\scraper.Theme.YouTube\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
"scraper.TMDB.Trailer","Addons\scraper.TMDB.Trailer\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.Trailer.YouTube","Addons\scraper.Trailer.YouTube\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.Apple.Trailer","Addons\scraper.Apple.Trailer\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
"scraper.Davestrailerpage.Trailer","Addons\scraper.Davestrailerpage.Trailer\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
"scraper.Trailer.VideobusterDE","Addons\scraper.Trailer.VideobusterDE\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
"KodiAPI","KodiAPI\Properties\AssemblyInfo.cs","1.10.0","1.10.1.0","active","2025-12-25 14:51:27"
"generic.EmberCore.BulkRename","Addons\generic.EmberCore.BulkRename\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.ContextMenu","Addons\generic.EmberCore.ContextMenu\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.FilterEditor","Addons\generic.EmberCore.FilterEditor\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.Mapping","Addons\generic.EmberCore.Mapping\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.MediaFileManager","Addons\generic.EmberCore.MediaFileManager\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.MetadataEditor","Addons\generic.Embercore.MetadataEditor\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.MovieExport","Addons\generic.EmberCore.MovieExport\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.TagManager","Addons\generic.EmberCore.TagManager\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.EmberCore.VideoSourceMapping","Addons\generic.EmberCore.VideoSourceMapping\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"generic.Interface.Trakttv","Addons\generic.Interface.Trakttv\My Project\AssemblyInfo.vb","1.11.1.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.TMDB.Data","Addons\scraper.TMDB.Data\My Project\AssemblyInfo.vb","1.11.2.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.Data.TVDB","Addons\scraper.Data.TVDB\My Project\AssemblyInfo.vb","1.10.2.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.Data.OMDb","Addons\scraper.Data.OMDb\My Project\AssemblyInfo.vb","1.10.2.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.Trakttv.Data","Addons\scraper.Trakttv.Data\My Project\AssemblyInfo.vb","1.10.2.0","1.12.0.0","active","2025-12-25 14:51:27"
"scraper.OFDB.Data","Addons\scraper.OFDB.Data\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
"scraper.MoviepilotDE.Data","Addons\scraper.MoviepilotDE.Data\My Project\AssemblyInfo.vb","1.10.1.0","1.12.0.0","deprecated","2025-12-25 14:51:27"
